img,blip2
apples.jpeg,a basket filled with apples sitting on a table
banana_1.jpeg,a banana with black spots on it
bear3.jpeg,a black bear walking through a grassy field
bird-g83440b9c4_1920.jpg,two colorful birds sitting on a rope
bird.jpeg,"kingfisher, kingfisher, kingfisher, kingfisher, kingfisher"
bird.png,"kingfisher, kingfisher, kingfisher, kingfisher, kingfisher"
black_shirt.jpeg,a man in black t - shirt standing on a sidewalk
box.jpeg,a brown box with a knife on the floor
cake_1.jpeg,a chocolate cake with chocolate drips on top
cat.jpeg,a white cat sitting on the ground
cat_3.jpeg,a cat sitting on a blue bench
chair_1.jpeg,a gray outdoor chair on a patio
chibi.jpeg,a cat sitting on top of a wooden shelf
couple_beach.jpeg,two people stand on the beach at sunset
dog2_standing.png,a dog standing in the grass
dog_01.jpeg,a dog standing on the beach
dog_with_shirt.jpg,a pug dog wearing a denim jacket
door.jpeg,a door with a number on it in an empty room
drinking_horse.png,a horse and a bird in a field
egg_tree.jpeg,an egg in a nest on a tree branch
elephant.jpeg,a large elephant walking on a dirt road
empty_street.jpeg,an aerial view of a highway with two lanes
flamingo.jpeg,a flamingo standing on the beach near the water
giraffe.jpeg,a giraffe standing in the grass with trees in the background
goat_and_cat.jpg,a goat and a cat
milk_cookie.jpeg,a glass of milk and an oreo cookie on a wooden table
new_cat_3.jpeg,an orange cat sitting on a pink background
open_book.jpeg,an open book on a bed with a blanket
pizza1.png,a pizza on a plate
prague.png,a street with a clock on it
red_car.jpeg,a red volkswagen beetle
road1.png,an empty highway with a cloudy sky
teddy_1.jpeg,a teddy bear sitting on a wall
tennis_ball.jpeg,a tennis ball sits on the court
tree_1.jpeg,a lone tree stands in a field with green grass
two_dogs_with_checkered_shirts1.jpg,two dogs wearing jackets on a dock
vase_01.jpeg,a vase of flowers sitting on a table in front of a window
white_horse1.png,a white horse running in the snow
white_horse2.png,a horse running in the field
zebra.jpeg,a zebra standing in a field
